"filename"	"group1"	"group2"
"psilo.high.24h_vs_psilo.high.8h_FDRq_1.00.tsv"	"psilo.high.24h"	"psilo.high.8h"
"psilo.high.24h_vs_sal.24h_FDRq_1.00.tsv"	"psilo.high.24h"	"sal.24h"
"psilo.high.7d_vs_psilo.high.24h_FDRq_1.00.tsv"	"psilo.high.7d"	"psilo.high.24h"
"psilo.high.7d_vs_psilo.low.8h_FDRq_1.00.tsv"	"psilo.high.7d"	"psilo.low.8h"
"psilo.high.7d_vs_sal.7d_FDRq_1.00.tsv"	"psilo.high.7d"	"sal.7d"
"psilo.high.8h_vs_sal.8h_FDRq_1.00.tsv"	"psilo.high.8h"	"sal.8h"
"psilo.low.24h_vs_psilo.low.8h_FDRq_1.00.tsv"	"psilo.low.24h"	"psilo.low.8h"
"psilo.low.24h_vs_sal.24h_FDRq_1.00.tsv"	"psilo.low.24h"	"sal.24h"
"psilo.low.7d_vs_psilo.low.24h_FDRq_1.00.tsv"	"psilo.low.7d"	"psilo.low.24h"
"psilo.low.7d_vs_psilo.low.8h_FDRq_1.00.tsv"	"psilo.low.7d"	"psilo.low.8h"
"psilo.low.7d_vs_sal.7d_FDRq_1.00.tsv"	"psilo.low.7d"	"sal.7d"
"psilo.low.8h_vs_sal.8h_FDRq_1.00.tsv"	"psilo.low.8h"	"sal.8h"
"sal.24h_vs_sal.8h_FDRq_1.00.tsv"	"sal.24h"	"sal.8h"
"sal.7d_vs_sal.24h_FDRq_1.00.tsv"	"sal.7d"	"sal.24h"
"sal.7d_vs_sal.8h_FDRq_1.00.tsv"	"sal.7d"	"sal.8h"
