gene_name_unique	gene_name	gene_id	seqnames	start	end	strand	exonic_length	logFC	AveExpr	t	P.Value	adj.P.Val	B
Dbp	Dbp	ENSMUSG00000059824	chr7	45705088	45710203	+	2993	-0.631575654171733	5.91848726937854	-9.23694326398594	2.34714936518274e-14	3.13414854732852e-10	22.212331391032
Bicd2	Bicd2	ENSMUSG00000037933	chr13	49341585	49387026	+	6316	0.222251192693122	6.69787559194106	8.47911400594014	7.6041859474585e-13	5.07693474782067e-09	18.8863291824869
Nr1d1	Nr1d1	ENSMUSG00000020889	chr11	98767932	98775333	-	3077	-0.447951893768561	6.85498762217097	-8.35586327561769	1.33805787896698e-12	5.95569561928204e-09	18.3403784835738
Ciart	Ciart	ENSMUSG00000038550	chr3	95878503	95882251	-	2261	-0.688162156902703	3.79484257412875	-7.26372282626522	1.93068551791675e-10	6.44511093018559e-07	13.2695374859074
Rmdn3	Rmdn3	ENSMUSG00000070730	chr2	119137001	119157034	-	3537	0.138565079688317	5.78778207968805	6.88228327350075	1.06709930847733e-09	2.84979541321955e-06	11.9081416178637
Nr1d2	Nr1d2	ENSMUSG00000021775	chr14	18204054	18239127	-	5409	-0.218317955979934	6.9983895988637	-6.79257195490306	1.5905196878552e-09	3.53970156532175e-06	11.5231124060846
Slco1a4	Slco1a4	ENSMUSG00000030237	chr6	141805440	141856199	-	6414	-0.291425402015616	6.57372609891106	-6.56004374246311	4.447827833871e-09	7.84103867844038e-06	10.5334290436013
Usp2	Usp2	ENSMUSG00000032010	chr9	44067021	44095627	+	4818	-0.41198656605907	6.14879200142169	-6.54762485841066	4.69769410825456e-09	7.84103867844038e-06	10.4827967179267
Lrch3	Lrch3	ENSMUSG00000022801	chr16	32914100	33015647	+	6610	0.245279064528755	6.16215362556099	6.48040220983238	6.31181202938749e-09	8.76842812863896e-06	10.1980678676897
Irf3	Irf3	ENSMUSG00000003184	chr7	44997648	45002848	+	3442	0.252586254418881	4.29267150642467	6.44022993719753	7.52713227995604e-09	8.76842812863896e-06	10.0042039618949
Heatr1	Heatr1	ENSMUSG00000050244	chr13	12395027	12440289	+	7828	0.20786257032807	4.86119906546141	6.43564563915764	7.67976563684819e-09	8.76842812863896e-06	10.0161713256408
Adal	Adal	ENSMUSG00000027259	chr2	121140428	121156680	+	5317	0.242301075568657	4.29154288870208	6.4223346530506	8.14052930904275e-09	8.76842812863896e-06	9.93185277771005
Pmpca	Pmpca	ENSMUSG00000026926	chr2	26389339	26397122	+	4282	-0.138354390164379	6.42928706162063	-6.41147486565532	8.53662590221721e-09	8.76842812863896e-06	9.90670086960623
Cpped1	Cpped1	ENSMUSG00000065979	chr16	11803721	11909445	-	5205	-0.236985690265343	5.34592385610916	-6.36620574068194	1.04036880522799e-08	9.87718014708672e-06	9.72847550701166
Xpo1	Xpo1	ENSMUSG00000020290	chr11	23256041	23298249	+	7181	0.238407670543472	6.37889249109963	6.35145156132117	1.10954618592302e-08	9.87718014708672e-06	9.65484383573004
Ccpg1	Ccpg1	ENSMUSG00000034563	chr9	72985429	73016340	+	7497	0.154461888531122	6.99426643134702	6.26022614990585	1.6503421112316e-08	1.27112038443117e-05	9.27469834463768
Arhgef19	Arhgef19	ENSMUSG00000028919	chr4	141239499	141257564	+	4242	0.242677419951651	4.58487809911102	6.25559585079816	1.68385791698539e-08	1.27112038443117e-05	9.26380070760163
Chordc1	Chordc1	ENSMUSG00000001774	chr9	18292125	18317442	+	7498	0.272290228345751	6.31267541347637	6.25157801548412	1.71348512841766e-08	1.27112038443117e-05	9.23770480074326
Pomt1	Pomt1	ENSMUSG00000039254	chr2	32236590	32255005	+	6442	0.246589359311782	4.32414028698847	6.22435356128913	1.92826617158211e-08	1.35516516784926e-05	9.12529053039963
Tfrc	Tfrc	ENSMUSG00000022797	chr16	32608920	32632794	+	6185	-0.308419159664749	7.09706240358159	-6.19981945441161	2.14449470722461e-08	1.43177189127851e-05	9.02406579363221
Purb	Purb	ENSMUSG00000094483	chr11	6467599	6475917	-	8319	-0.190468845003851	9.4909504499341	-6.1796825383826	2.33973588466651e-08	1.48773777466438e-05	8.95687773949046
Stk36	Stk36	ENSMUSG00000033276	chr1	74601445	74636894	+	6437	0.415389370708718	2.82386759756596	6.13834106830914	2.79725856349063e-08	1.69069552133637e-05	8.40764017310724
Zfp46	Zfp46	ENSMUSG00000051351	chr4	136284683	136293942	+	5212	-0.361136057204977	5.63031214816298	-6.12901105885387	2.91215434664393e-08	1.69069552133637e-05	8.74014582297812
Ahsa2	Ahsa2	ENSMUSG00000020288	chr11	23487882	23498030	-	4532	0.284578425277749	5.22273868503464	6.11281248610006	3.1228074424555e-08	1.70084513590074e-05	8.68049099453996
Nucks1	Nucks1	ENSMUSG00000026434	chr1	131910534	131936321	+	6779	-0.173986842235755	7.16293473892897	-6.10828071956291	3.18438765801831e-08	1.70084513590074e-05	8.64533545663694
Acvr1b	Acvr1b	ENSMUSG00000000532	chr15	101174067	101213684	+	4418	-0.169590384034509	7.21937358152298	-6.07337454182868	3.70066122578637e-08	1.86871569504141e-05	8.50176413750943
Slc25a16	Slc25a16	ENSMUSG00000071253	chr10	62920633	62946498	+	4799	-0.233905142126891	5.17885111704471	-6.06852876562855	3.77857588303139e-08	1.86871569504141e-05	8.50011335513418
Srsf1	Srsf1	ENSMUSG00000018379	chr11	88047373	88053755	+	5710	0.114084987650514	7.30796897609927	6.04149762951758	4.2438550306455e-08	2.02386415086462e-05	8.37140432849655
Tubd1	Tubd1	ENSMUSG00000020513	chr11	86544991	86567360	+	2070	0.429318414444445	2.75655451645959	6.01503457477125	4.75400033660545e-08	2.12599438176648e-05	7.89529592136296
Ttc4	Ttc4	ENSMUSG00000025413	chr4	106662256	106678944	-	3568	0.175506199878106	5.4866694876008	6.01393581634699	4.77644210686695e-08	2.12599438176648e-05	8.2689472902569
Tcirg1	Tcirg1	ENSMUSG00000001750	chr19	3896050	3907133	-	4603	0.267992890518706	3.95026157526513	5.95396252772122	6.17373176716806e-08	2.65928517054823e-05	8.00126385828944
Babam2	Babam2	ENSMUSG00000052139	chr5	31697684	32084962	+	4781	-0.174261328867321	4.88741865188695	-5.91220614874196	7.37750719993178e-08	3.04275600489195e-05	7.86777959761174
Pdia6	Pdia6	ENSMUSG00000020571	chr12	17266545	17284770	+	3745	0.281866199098959	6.45831651694984	5.90772402816416	7.51972951107874e-08	3.04275600489195e-05	7.81771420092237
Zfand5	Zfand5	ENSMUSG00000024750	chr19	21272278	21286840	+	10751	-0.205835253714323	7.19594230705414	-5.89062461618089	8.08757033387862e-08	3.17627431377298e-05	7.75205910879148
1110004F10Rik	1110004F10Rik	ENSMUSG00000030663	chr7	116039397	116105210	+	2490	-0.132910695870899	6.32327440134209	-5.8794521701334	8.48120599353756e-08	3.2357012466202e-05	7.70326791405149
Farsb	Farsb	ENSMUSG00000026245	chr1	78417975	78488897	-	2620	0.158459119256347	5.83155606960573	5.8566083499586	9.34575832204174e-08	3.46649752428398e-05	7.618633791857
Polr2e	Polr2e	ENSMUSG00000004667	chr10	80035949	80039795	-	2670	-0.1971237021465	5.33398393284192	-5.76614116368383	1.37080880597786e-07	4.90236741110817e-05	7.267839799884
Klhdc9	Klhdc9	ENSMUSG00000045259	chr1	171358446	171360798	-	1558	-0.400154189815588	2.03979957283466	-5.76197743376368	1.39511691471662e-07	4.90236741110817e-05	6.58944504202084
Pla2g4b	Pla2g4b	ENSMUSG00000098488	chr2	120033417	120043030	+	5831	0.544942392691359	2.51550652649465	5.74766797095588	1.48193660189019e-07	4.95490691437655e-05	6.82024320068394
