gene_name_unique	gene_name	gene_id	seqnames	start	end	strand	exonic_length	logFC	AveExpr	t	P.Value	adj.P.Val	B
Mfsd2a	Mfsd2a	ENSMUSG00000028655	chr4	122946850	122961188	-	2250	-0.514064487280677	4.56317108687667	-7.81981003730749	1.55169617363342e-11	2.0719799006527e-07	15.8134666149468
Sdc4	Sdc4	ENSMUSG00000017009	chr2	164424247	164443887	-	2547	-0.434255386462782	6.17302145268755	-7.46101431227604	7.91933674430945e-11	5.28734517733821e-07	14.3948011391687
Plin4	Plin4	ENSMUSG00000002831	chr17	56100591	56109803	-	6350	-2.02078352838687	2.41613424805624	-7.3674615550124	1.2090174386559e-10	5.38133661945741e-07	12.885236324027
Hif3a	Hif3a	ENSMUSG00000004328	chr7	17031507	17062427	-	6710	-1.20044348619471	3.18806944821207	-7.29086930727503	1.7083123723541e-10	5.70277377701106e-07	13.1006866805543
Neu4	Neu4	ENSMUSG00000034000	chr1	94020451	94028334	+	4637	-0.351367697807005	3.6825829560159	-7.02033544647882	5.76042451563053e-10	1.53837897114429e-06	12.1783170986212
Smox	Smox	ENSMUSG00000027333	chr2	131491496	131525922	+	3894	-0.34341384444716	5.74812549476217	-6.97232946041601	7.13995678440409e-10	1.58899738236913e-06	12.2860069905434
Prr5	Prr5	ENSMUSG00000036106	chr15	84669620	84703673	+	1917	-0.543750989830113	3.497237898134	-6.72268096360255	2.16867272715768e-09	4.13689813224807e-06	10.8936676949434
Ly6c1	Ly6c1	ENSMUSG00000079018	chr15	75044018	75048830	-	1677	-0.37240898982977	4.87880257191404	-6.68165950029303	2.60054630707405e-09	4.34063685479497e-06	11.0274739041121
Tma7	Tma7	ENSMUSG00000091537	chr9	109074568	109082587	-	1359	0.192492607837021	5.75262129823576	6.62356248648701	3.36164712732399e-09	4.98756378790636e-06	10.8073690577369
Hs2st1	Hs2st1	ENSMUSG00000040151	chr3	144429706	144570181	-	8209	0.213585488594438	6.15323161954826	6.47874374792757	6.35790339983229e-09	8.28244499214942e-06	10.1992484260454
Itpk1	Itpk1	ENSMUSG00000057963	chr12	102568582	102704930	-	3320	-0.288363351865542	6.22655509605654	-6.46264634750912	6.82295326246114e-09	8.28244499214942e-06	10.1316906730646
Paqr8	Paqr8	ENSMUSG00000025931	chr1	20890606	20939650	+	5488	-0.327318694688064	7.80073141338377	-6.38404751701955	9.62393755264311e-09	9.64438092413504e-06	9.80379092494564
Vopp1	Vopp1	ENSMUSG00000037788	chr6	57727807	57825159	-	9821	0.304686867534306	6.39345804009559	6.36596398347244	1.04146718124087e-08	9.64438092413504e-06	9.72724609460949
Fabp3	Fabp3	ENSMUSG00000028773	chr4	130308595	130315463	+	823	0.28510328922384	5.27550115446979	6.36595630659028	1.04150207842162e-08	9.64438092413504e-06	9.72562704873144
Usp54	Usp54	ENSMUSG00000034235	chr14	20548912	20641063	-	9068	-0.334986016025717	6.82172403451951	-6.35691925739899	1.08339484656651e-08	9.64438092413504e-06	9.68982737073886
Cpped1	Cpped1	ENSMUSG00000065979	chr16	11803721	11909445	-	5205	0.242364160931826	5.34592385610916	6.3312583666046	1.21165365485471e-08	1.01120070332969e-05	9.58316646223612
Fgfr3	Fgfr3	ENSMUSG00000054252	chr5	33721674	33737068	+	7158	-0.271039691945949	7.37007019714006	-6.29003868837086	1.44979965780737e-08	1.13877499004128e-05	9.41273097974087
Flrt2	Flrt2	ENSMUSG00000047414	chr12	95692226	95785215	+	7721	0.334384731723829	6.22962644095798	6.26103283208745	1.64457088439354e-08	1.21999750107261e-05	9.29098416941658
Daam2	Daam2	ENSMUSG00000040260	chr17	49456022	49564343	-	9769	-0.299638438439359	7.26252876804874	-6.19252099690013	2.21332395561181e-08	1.55550077785708e-05	9.00883031704578
C130074G19Rik	C130074G19Rik	ENSMUSG00000039349	chr1	184871926	184883218	-	3035	0.711892690377613	5.64147701240507	6.16342898940843	2.51004878457284e-08	1.67583407102006e-05	8.89088865865602
Ubtd2	Ubtd2	ENSMUSG00000044949	chr11	32455370	32516687	+	1012	0.333037345619027	3.66804630834483	6.11886241774512	3.04242701100753e-08	1.93454894657064e-05	8.54956970235864
Polr2e	Polr2e	ENSMUSG00000004667	chr10	80035949	80039795	-	2670	0.214039433152561	5.33398393284192	6.08300079217003	3.55055696535576e-08	2.15502668901798e-05	8.56187377894546
Serpini1	Serpini1	ENSMUSG00000027834	chr3	75557547	75643495	+	7286	0.334763035593542	7.69857317454105	6.00212725369438	5.02432561266251e-08	2.81583244311898e-05	8.22898094686802
Calm2	Calm2	ENSMUSG00000036438	chr17	87433412	87446935	-	1467	0.273345062880356	10.1320963609167	6.00042763026888	5.06103337338841e-08	2.81583244311898e-05	8.22302490648566
Rapgef3	Rapgef3	ENSMUSG00000022469	chr15	97744770	97767972	-	6336	-0.276215149465078	5.59157386167271	-5.94297331686672	6.47032315923301e-08	3.45592900580953e-05	7.98973023301464
Zcchc24	Zcchc24	ENSMUSG00000055538	chr14	25711642	25769039	-	4557	-0.222844193123318	6.79731856005103	-5.92723270850293	6.91977666348046e-08	3.55383760720979e-05	7.91912946467503
Cdc37l1	Cdc37l1	ENSMUSG00000024780	chr19	28990352	29026681	+	12214	-0.222602034688071	7.45322734642649	-5.91729597613746	7.21921566745108e-08	3.56134429918496e-05	7.88284936407528
Kndc1	Kndc1	ENSMUSG00000066129	chr7	139894696	139941537	+	10709	-0.490550605303329	7.65693897930121	-5.90935056625908	7.4678080114715e-08	3.56134429918496e-05	7.8521640590618
Tnfrsf19	Tnfrsf19	ENSMUSG00000060548	chr14	60963875	61046490	-	4738	0.295725713608467	6.16136347321075	5.8830830810538	8.35125120119204e-08	3.7433837074845e-05	7.74042875612566
Dmpk	Dmpk	ENSMUSG00000030409	chr7	19083849	19093821	+	4330	-0.351243642085753	4.82849742016147	-5.88142898023816	8.4102082846203e-08	3.7433837074845e-05	7.74363397111673
Cuedc2	Cuedc2	ENSMUSG00000036748	chr19	46329812	46338702	-	2358	0.13688940929981	6.41678943259214	5.86557808676552	8.99639406932999e-08	3.87512419379882e-05	7.66794163463477
Stmn1	Stmn1	ENSMUSG00000028832	chr4	134468320	134473843	+	1922	0.267458816357935	8.25146525277608	5.8276609632262	1.05669544998119e-07	4.25312936539051e-05	7.5249283494859
Lfng	Lfng	ENSMUSG00000029570	chr5	140607320	140615545	+	2505	-0.385869318604278	4.53516720319261	-5.82517034865336	1.06790906582739e-07	4.25312936539051e-05	7.51150130235015
Tsc22d3	Tsc22d3	ENSMUSG00000031431	chrX	140539528	140600659	-	4341	-0.501953391219952	6.34745103978865	-5.82186967938404	1.0829506359865e-07	4.25312936539051e-05	7.49221490980093
Cspg5	Cspg5	ENSMUSG00000032482	chr9	110243783	110262576	+	10074	0.251435020832336	8.07264376859627	5.81487850987982	1.11550288361085e-07	4.25580285853021e-05	7.47269677369293
Pamr1	Pamr1	ENSMUSG00000027188	chr2	102550012	102643041	+	6046	0.640358980597362	4.82407294012449	5.75432597012404	1.44089822492113e-07	5.28156390057728e-05	7.23537384795974
Tbrg1	Tbrg1	ENSMUSG00000011114	chr9	37648763	37657312	-	3901	0.197628442069536	5.15227620389519	5.75064033576612	1.46347535625971e-07	5.28156390057728e-05	7.22075030332864
Hapln2	Hapln2	ENSMUSG00000004894	chr3	88021750	88027583	-	2371	-0.67855119770693	4.8845236976783	-5.69511430004395	1.84889243919975e-07	6.16991935896351e-05	7.00126756052328
Syt1	Syt1	ENSMUSG00000035864	chr10	108497650	109010982	-	8338	0.271973737587704	10.4914806816767	5.69404587185427	1.85721223570642e-07	6.16991935896351e-05	6.9968163340778
Gabrr2	Gabrr2	ENSMUSG00000023267	chr4	33062999	33095865	+	2105	-1.00226520276775	1.49713722474038	-5.69013118420148	1.88801168048386e-07	6.16991935896351e-05	5.87507814891841
Dkkl1	Dkkl1	ENSMUSG00000030792	chr7	45207519	45212147	-	1576	1.01299374638615	3.33288551302236	5.68932006365649	1.8944558804576e-07	6.16991935896351e-05	6.74298694689316
Adipor2	Adipor2	ENSMUSG00000030168	chr6	119353150	119417704	-	5979	-0.378967209149974	6.29031521550265	-5.66039667135256	2.13894551536589e-07	6.77201954384435e-05	6.84331342236739
Mal2	Mal2	ENSMUSG00000024479	chr15	54571192	54602847	+	2950	0.401459716387325	6.95499168046097	5.64650181578631	2.26718697117937e-07	6.77201954384435e-05	6.78866420979212
Arhgef10	Arhgef10	ENSMUSG00000071176	chr8	14911663	15001085	+	9210	-0.435656109104779	6.36459875837859	-5.64109760634425	2.31908191725854e-07	6.77201954384435e-05	6.76593219122765
Atp1a1	Atp1a1	ENSMUSG00000033161	chr3	101576219	101604684	-	4568	0.543038534692698	9.59106357275148	5.64002450005239	2.32952478729301e-07	6.77201954384435e-05	6.78231946421047
Coro1a	Coro1a	ENSMUSG00000030707	chr7	126699773	126707787	-	2783	0.34525421552158	6.13379368699384	5.63785180284471	2.35081007833076e-07	6.77201954384435e-05	6.75472935360046
Ldb3	Ldb3	ENSMUSG00000021798	chr14	34526603	34588682	-	6105	-0.408377683762932	3.9141781839045	-5.63454023255484	2.3836210481591e-07	6.77201954384435e-05	6.71872847483713
Ap3m2	Ap3m2	ENSMUSG00000031539	chr8	22787354	22805622	-	4525	0.183570597296273	7.02236196775884	5.61360967982783	2.60166963220813e-07	6.92782798797106e-05	6.65811773927673
Dtl	Dtl	ENSMUSG00000037474	chr1	191537356	191575544	-	13709	0.813637451174847	2.51348933325755	5.6082413259944	2.66068488995049e-07	6.92782798797106e-05	6.09564637909357
Fam174b	Fam174b	ENSMUSG00000078670	chr7	73740302	73776919	+	3262	0.258079832640263	4.66494088264218	5.60613982775121	2.68414379541639e-07	6.92782798797106e-05	6.64891055001509
Folh1	Folh1	ENSMUSG00000001773	chr7	86718977	86775943	-	3210	-0.430802642415113	3.55722092885686	-5.60511134765568	2.69569865949983e-07	6.92782798797106e-05	6.54102792929996
B3galt5	B3galt5	ENSMUSG00000074892	chr16	96235801	96319859	+	6159	-0.439634880064124	6.0504445016535	-5.60491824874061	2.69787355181978e-07	6.92782798797106e-05	6.62404813605456
Ralgds	Ralgds	ENSMUSG00000026821	chr2	28513125	28553081	+	6345	-0.164301849271655	6.79331937804358	-5.59601992523897	2.79998981667703e-07	7.05438943812989e-05	6.58671909461376
Garem2	Garem2	ENSMUSG00000044576	chr5	30105161	30118378	+	3865	-0.282928543808739	4.30141466506099	-5.59049013603917	2.86535366246805e-07	7.08538286202517e-05	6.58018221317137
