gene_name_unique	gene_name	gene_id	seqnames	start	end	strand	exonic_length	logFC	AveExpr	t	P.Value	adj.P.Val	B
Dbp	Dbp	ENSMUSG00000059824	chr7	45705088	45710203	+	2993	-0.577465059740126	5.91848726937854	-8.67112981099693	3.15080079237733e-13	4.20726429806145e-09	19.6173793186714
Sik2	Sik2	ENSMUSG00000037112	chr9	50892801	51009073	-	9539	0.362050098453355	5.47557075307119	8.17450930747172	3.07050853198466e-12	2.05002502137956e-08	17.4496141770404
Zc3h6	Zc3h6	ENSMUSG00000042851	chr2	128967402	129018563	+	5668	-0.360886821296076	3.6823413857715	-7.41353151696444	9.81739802800786e-11	4.3697238622663e-07	13.6710063978588
Nr1d2	Nr1d2	ENSMUSG00000021775	chr14	18204054	18239127	-	5409	-0.217311306477868	6.9983895988637	-7.06702885447525	4.67338134594364e-10	1.56009152780964e-06	12.6894464015106
Rara	Rara	ENSMUSG00000037992	chr11	98927818	98974942	+	4365	0.445277780814012	3.80154509891399	6.96112713996528	7.50642959037903e-10	1.94935814408349e-06	11.9403605193509
Bcor	Bcor	ENSMUSG00000040363	chrX	12036740	12160355	-	8666	0.265378532076999	5.62670303562997	6.92655836276577	8.75919184041109e-10	1.94935814408349e-06	12.08294610669
Tspan4	Tspan4	ENSMUSG00000025511	chr7	141475240	141493427	+	2178	-0.428762379595568	3.73067534130102	-6.82078120506165	1.40311569234585e-09	2.42140597642896e-06	11.2604689997514
Sstr2	Sstr2	ENSMUSG00000047904	chr11	113619342	113626028	+	2143	0.602949600666549	3.95850847826391	6.79796022265126	1.55290033126315e-09	2.42140597642896e-06	11.3451235373917
Cbfa2t3	Cbfa2t3	ENSMUSG00000006362	chr8	122625141	122699109	-	8373	0.507505307754674	5.14777575696676	6.78676954390442	1.63204177247515e-09	2.42140597642896e-06	11.4759925522645
Hivep3	Hivep3	ENSMUSG00000028634	chr4	119733784	120138045	+	17627	0.32630479356972	6.83373646819752	6.76229402686568	1.81934933601778e-09	2.42937716838454e-06	11.3926854760914
Myh9	Myh9	ENSMUSG00000022443	chr15	77760587	77842175	-	12928	0.212824984132217	7.02921547836043	6.71032098453453	2.29071491958638e-09	2.78071966556699e-06	11.1721830770302
