gene_name_unique	gene_name	gene_id	seqnames	start	end	strand	exonic_length	logFC	AveExpr	t	P.Value	adj.P.Val	B
Dmpk	Dmpk	ENSMUSG00000030409	chr7	19083849	19093821	+	4330	-0.402343436285197	4.82849742016147	-6.54445989859628	4.76356498165472e-09	6.36078832000354e-05	10.3376371181462
Lrch3	Lrch3	ENSMUSG00000022801	chr16	32914100	33015647	+	6610	-0.244516904254586	6.16215362556099	-6.2183094779192	1.97944552656894e-08	0.000132157680581375	9.10366368161488
Rnf20	Rnf20	ENSMUSG00000028309	chr4	49632006	49656887	+	7288	-0.158915114750893	6.35372628473256	-5.84206077199285	9.94100579673127e-08	0.000383801683795209	7.58487481244947
Zfp598	Zfp598	ENSMUSG00000041130	chr17	24669687	24682016	+	3895	-0.204855197865083	5.66905237318146	-5.80774540331042	1.14970923027098e-07	0.000383801683795209	7.44238014390025
Prpf38b	Prpf38b	ENSMUSG00000027881	chr3	108902805	108911727	-	6949	-0.21486196515189	5.83166485115485	-5.62142335823071	2.51806590574855e-07	0.000672474680789208	6.70914909560348
Setdb1	Setdb1	ENSMUSG00000015697	chr3	95323525	95357202	-	6853	-0.164166903143875	5.6861091016059	-5.50638945892477	4.06544461810257e-07	0.000727838488275428	6.25957677337794
Tjap1	Tjap1	ENSMUSG00000012296	chr17	46257851	46283026	-	4701	-0.30025210550958	4.79363672968767	-5.5009005663268	4.15902561381521e-07	0.000727838488275428	6.21201215137883
Tcirg1	Tcirg1	ENSMUSG00000001750	chr19	3896050	3907133	-	4603	-0.257825459586486	3.95026157526513	-5.48947831692729	4.36059904605963e-07	0.000727838488275428	6.04636877627585
Nrbp2	Nrbp2	ENSMUSG00000075590	chr15	76085518	76091627	-	3894	-0.272015211351657	7.2305627385446	-5.41850198640436	5.84622520838287e-07	0.000867384946750404	5.91936727968329
Zfp106	Zfp106	ENSMUSG00000027288	chr2	120506820	120563843	-	10429	0.129775336485327	8.40756479433123	5.37433299256959	7.0107560604599e-07	0.00093614625675321	5.7491061559043
Nr1d2	Nr1d2	ENSMUSG00000021775	chr14	18204054	18239127	-	5409	-0.176954683608652	6.9983895988637	-5.31733215119	8.85458909493622e-07	0.000963874059444895	5.52919776560807
Pomt1	Pomt1	ENSMUSG00000039254	chr2	32236590	32255005	+	6442	-0.218971499808828	4.32414028698847	-5.31136451893225	9.0731480697585e-07	0.000963874059444895	5.45788201510906
Abcd4	Abcd4	ENSMUSG00000021240	chr12	84601464	84617413	-	8006	-0.231718663616185	4.25400701639926	-5.29243223251207	9.8021086462751e-07	0.000963874059444895	5.37063004457722
Zbtb40	Zbtb40	ENSMUSG00000060862	chr4	136979732	137048801	-	10710	-0.298317805284899	4.11169713970856	-5.28494978049558	1.01057716110451e-06	0.000963874059444895	5.32556544479897
Anks1	Anks1	ENSMUSG00000024219	chr17	27909306	28062775	+	10136	-0.197946030308117	5.89467426766237	-5.24007895933409	1.212985844166e-06	0.00107979999847658	5.23600209085893
Acin1	Acin1	ENSMUSG00000022185	chr14	54642161	54686931	-	10527	-0.174541155214811	7.3747758287929	-5.12991479618657	1.89340331898097e-06	0.00158016340739706	4.81884365229602
Baz1b	Baz1b	ENSMUSG00000002748	chr5	135187264	135246129	+	13667	-0.115819674867803	7.21407595801453	-5.0626601299404	2.479655841302e-06	0.00188466582717314	4.56546238955938
Adam15	Adam15	ENSMUSG00000028041	chr3	89338542	89349996	-	6145	-0.126539819991224	6.65501939054883	-5.05524520311489	2.55425228845447e-06	0.00188466582717314	4.53524257907857
Ccnl2	Ccnl2	ENSMUSG00000029068	chr4	155812489	155824543	+	5278	-0.256435880604826	6.39358565924676	-5.0207224152309	2.93143780928063e-06	0.00188466582717314	4.40651119432107
Scrib	Scrib	ENSMUSG00000022568	chr15	76047158	76069784	-	6452	-0.156289091743478	6.03138933055387	-5.01782307281348	2.96548443165799e-06	0.00188466582717314	4.39833599868998
Clasrp	Clasrp	ENSMUSG00000061028	chr7	19581035	19604486	-	7614	-0.293687213970522	6.18697445726235	-4.99529303617277	3.24354207142254e-06	0.00188466582717314	4.31327300555723
Rpl5	Rpl5	ENSMUSG00000058558	chr5	107900502	107909005	+	3920	0.140456859927138	7.12768197748421	4.99433978197034	3.25585168369475e-06	0.00188466582717314	4.3102915519567
Dbp	Dbp	ENSMUSG00000059824	chr7	45705088	45710203	+	2993	-0.364015683574687	5.91848726937854	-4.99007851151172	3.31143852234289e-06	0.00188466582717314	4.30128661245631
Als2cl	Als2cl	ENSMUSG00000044037	chr9	110879870	110900530	+	5883	-0.295734871530139	4.21384505984781	-4.98436674064944	3.38740207085713e-06	0.00188466582717314	4.24418990961103
Nr2c2	Nr2c2	ENSMUSG00000005893	chr6	92091390	92174294	+	14935	0.125879659953915	7.34848048619669	4.96180348631924	3.70446550749031e-06	0.00197862911686073	4.19113659914125
Bicd2	Bicd2	ENSMUSG00000037933	chr13	49341585	49387026	+	6316	-0.134474575938205	6.69787559194106	-4.93971022869737	4.04291048948728e-06	0.00200214853429795	4.10547021330217
Dusp11	Dusp11	ENSMUSG00000030002	chr6	85942268	85961667	-	8754	-0.288192941246444	6.5777645134562	-4.93118192927316	4.1814700417318e-06	0.00200214853429795	4.07376072426288
Taf11	Taf11	ENSMUSG00000024218	chr17	27901122	27909844	-	5495	0.123404458257042	4.83521036369298	4.93016371574435	4.19831940090936e-06	0.00200214853429795	4.08354649722344
Rpl17	Rpl17	ENSMUSG00000062328	chr18	74998558	75003381	+	1327	0.166099332950296	7.21326818062801	4.90942008177768	4.55636410374784e-06	0.00209796999577051	3.99680402560298
Tbc1d19	Tbc1d19	ENSMUSG00000039178	chr5	53809606	53903965	+	3117	-0.201063079370458	5.49870310864676	-4.89291933696669	4.86228240051991e-06	0.00216420189647141	3.94436745105959
Ctbp1	Ctbp1	ENSMUSG00000037373	chr5	33247723	33274994	-	4476	0.104992057536574	7.72697935932958	4.87307638138513	5.25675421320137e-06	0.00226430448415735	3.86753038367663
Plekhn1	Plekhn1	ENSMUSG00000078485	chr4	156221456	156234857	-	8328	-0.218104919724678	5.90982829525893	-4.8565944261548	5.60797937481949e-06	0.0023401046434989	3.80495884748925
Pag1	Pag1	ENSMUSG00000027508	chr3	9687479	9833679	-	9580	-0.170711685876724	5.60081502409419	-4.82955704494375	6.23424213515694e-06	0.00247729194517631	3.71186604991053
Rpl4	Rpl4	ENSMUSG00000032399	chr9	64173375	64178666	+	2007	0.120194456979267	8.59392822863819	4.81940326559827	6.48661161209605e-06	0.00247729194517631	3.67800102150907
Pfdn5	Pfdn5	ENSMUSG00000001289	chr15	102326116	102331873	+	1394	0.14779374394209	6.46588361345724	4.81913889162863	6.49331371835324e-06	0.00247729194517631	3.66227699655498
Plod3	Plod3	ENSMUSG00000004846	chr5	136987019	136996648	+	4519	-0.142941884883191	5.10816562171867	-4.80834561234849	6.77276625398885e-06	0.00251213188304203	3.64270781052086
Osbpl7	Osbpl7	ENSMUSG00000038534	chr11	97050628	97068904	+	5920	-0.241598171780915	4.68773518512567	-4.79096616181234	7.24753123290181e-06	0.00261557525818751	3.5801385058194
Sdhb	Sdhb	ENSMUSG00000009863	chr4	140961203	140979193	+	2239	0.0977521042561262	6.55782991372569	4.76408958250694	8.0461756799866e-06	0.00271723724558582	3.46180811049324
Rpl32	Rpl32	ENSMUSG00000057841	chr6	115805505	115808747	-	963	0.157410792073817	6.50669370478548	4.75903304059569	8.20572179987059e-06	0.00271723724558582	3.44353915024858
Hunk	Hunk	ENSMUSG00000053414	chr16	90386013	90499553	+	8402	0.381194062679081	4.7669219126802	4.75275754889712	8.40801412436869e-06	0.00271723724558582	3.44460601134406
Pmpca	Pmpca	ENSMUSG00000026926	chr2	26389339	26397122	+	4282	0.106347747475528	6.42928706162063	4.74725830020835	8.58926693629895e-06	0.00271723724558582	3.4011030780755
Crip3	Crip3	ENSMUSG00000023968	chr17	46428926	46431776	+	1520	-0.618497244590037	1.03598647005665	-4.73827857770208	8.89343685938467e-06	0.00271723724558582	2.06893671534666
Anp32e	Anp32e	ENSMUSG00000015749	chr3	95929246	95947390	+	3566	0.1317262358751	6.77718210362553	4.73230161886895	9.10167595768915e-06	0.00271723724558582	3.34729148627327
Carns1	Carns1	ENSMUSG00000075289	chr19	4164324	4175479	-	4525	-0.514448814502223	4.26681734780966	-4.73090117985667	9.15114927973691e-06	0.00271723724558582	3.34757378251045
Akr1a1	Akr1a1	ENSMUSG00000028692	chr4	116636510	116651680	-	2750	0.109252124690898	7.75016311835214	4.72646363434098	9.30964827132283e-06	0.00271723724558582	3.33546650993532
Rtf1	Rtf1	ENSMUSG00000027304	chr2	119675068	119735407	+	5731	0.106735896785871	6.52181168099619	4.72505102187998	9.36066152152684e-06	0.00271723724558582	3.32054700703563
Per2	Per2	ENSMUSG00000055866	chr1	91415982	91459324	-	5856	-0.390105152163875	5.39390607220688	-4.71146841722807	9.86524649572786e-06	0.0027815964479027	3.29329199794188
Ubac1	Ubac1	ENSMUSG00000036352	chr2	25998543	26021747	-	2632	-0.108864344194632	5.43647474710322	-4.7079813077202	9.99899868938288e-06	0.0027815964479027	3.2762878422176
Snrnp48	Snrnp48	ENSMUSG00000021431	chr13	38204938	38227665	+	10129	-0.296589472485703	4.77190809556677	-4.69870165747246	1.03635777522631e-05	0.00282418068828509	3.25295584917456
P4ha2	P4ha2	ENSMUSG00000018906	chr11	54100095	54131665	+	6239	-0.301215176642375	4.120526252452	-4.69014762433359	1.07110746667543e-05	0.00282717072140621	3.19836421889372
Rps6kb2	Rps6kb2	ENSMUSG00000024830	chr19	4153991	4163354	-	5167	-0.266623912901545	5.04706409504357	-4.68805003090868	1.07980009579657e-05	0.00282717072140621	3.21362294032647
Safb2	Safb2	ENSMUSG00000042625	chr17	56560965	56584585	-	8165	-0.223197280403197	6.49393922717353	-4.67856285787546	1.11997983905174e-05	0.00287597899824191	3.15322088518022
Sh2d3c	Sh2d3c	ENSMUSG00000059013	chr2	32721055	32755512	+	5233	0.249093273943243	4.5754622610983	4.64676722420054	1.26551706067946e-05	0.0031031297642494	3.0693898715593
Uqcc2	Uqcc2	ENSMUSG00000024208	chr17	27122663	27133916	-	837	0.14960416585068	5.67408493490257	4.64105427188098	1.29354569919571e-05	0.0031031297642494	3.0306362041505
Ago3	Ago3	ENSMUSG00000028842	chr4	126331704	126429556	-	16571	-0.187515356358519	6.61879408663837	-4.64038794207966	1.29685382079634e-05	0.0031031297642494	3.01625124559839
Ubr2	Ubr2	ENSMUSG00000023977	chr17	46928295	47010556	-	9814	-0.122329171460704	6.84176464599734	-4.63432624622161	1.32732810808752e-05	0.0031031297642494	2.9955091971526
Rnf215	Rnf215	ENSMUSG00000003581	chr11	4135202	4141172	+	2232	-0.161447850454036	4.66826253400436	-4.62657949134791	1.36728753432472e-05	0.0031031297642494	2.99907149339107
Pla2g4b	Pla2g4b	ENSMUSG00000098488	chr2	120033417	120043030	+	5831	-0.458108514268449	2.51550652649465	-4.62408537690863	1.3803995372105e-05	0.0031031297642494	2.57509726328002
Hps4	Hps4	ENSMUSG00000042328	chr5	112343083	112378414	+	3948	-0.248440326916084	4.86338918721986	-4.62180992158773	1.39246846781137e-05	0.0031031297642494	2.98134236263316
Riox1	Riox1	ENSMUSG00000046791	chr12	83950608	83952951	+	2344	0.262826698787027	3.07414890550457	4.62145658386909	1.39435172511768e-05	0.0031031297642494	2.77494669957286
Rock1	Rock1	ENSMUSG00000024290	chr18	10064401	10182045	-	18094	-0.170078039660894	5.69257974197843	-4.61192166190975	1.44611615305658e-05	0.00316557196586304	2.92738585953354
Cfp	Cfp	ENSMUSG00000001128	chrX	20925454	20931555	-	1736	-0.369956463297322	3.79138788993863	-4.60483613744272	1.48578649491298e-05	0.00316777860832712	2.87005549872431
Amigo1	Amigo1	ENSMUSG00000050947	chr3	108186335	108192286	+	5540	0.128758491171105	6.76014761434949	4.60329200890136	1.49457090035654e-05	0.00316777860832712	2.88466018393273
Rps18	Rps18	ENSMUSG00000008668	chr17	33951999	33956001	-	2451	0.134929012872449	6.6167983549828	4.59825707135188	1.52356581098857e-05	0.00317877723033288	2.86618549481221
Josd2	Josd2	ENSMUSG00000038695	chr7	44467980	44471662	+	2633	-0.213343486896946	5.89849665644909	-4.58979078436383	1.57355628988049e-05	0.00322964183903356	2.84341453585084
Col11a2	Col11a2	ENSMUSG00000024330	chr17	34039437	34066685	+	6874	-0.296414210837717	5.31939060551384	-4.58602203123853	1.59631814106354e-05	0.00322964183903356	2.84694281808031
Neu4	Neu4	ENSMUSG00000034000	chr1	94020451	94028334	+	4637	-0.236809981897139	3.6825829560159	-4.58167202329778	1.62298790626382e-05	0.0032345906734837	2.77295929417356
Rps25	Rps25	ENSMUSG00000009927	chr9	44407139	44410427	+	2691	0.137676078842167	6.86476440641031	4.57187698216761	1.68463347673703e-05	0.00330807511983376	2.77385192651989
Cnbp	Cnbp	ENSMUSG00000030057	chr6	87842615	87851106	-	3036	0.0959151657227064	7.56072926032537	4.56416119480901	1.73478696285176e-05	0.00335718990071877	2.75432930808234
B3galt6	B3galt6	ENSMUSG00000050796	chr4	155989466	155992649	-	3184	0.195614520944186	3.62470977928265	4.5360314608452	1.93019281054744e-05	0.00358181804943556	2.61779592027488
Bms1	Bms1	ENSMUSG00000030138	chr6	118383381	118419474	-	4854	-0.153032942899935	5.28730244758499	-4.53457365032639	1.94088107638416e-05	0.00358181804943556	2.66693456801026
