gene_name_unique	gene_name	gene_id	seqnames	start	end	strand	exonic_length	logFC	AveExpr	t	P.Value	adj.P.Val	B
Fmo2	Fmo2	ENSMUSG00000040170	chr1	162874317	162898726	-	5609	-1.99851379213297	1.10897704665536	-13.8869244972059	2.78118175262781e-23	3.71371199428392e-19	35.0936512105317
Ciart	Ciart	ENSMUSG00000038550	chr3	95878503	95882251	-	2261	-1.13973335323837	3.79484257412875	-12.3125027235154	2.31321448969631e-20	1.54441765404574e-16	34.8880837088431
Mthfd1l	Mthfd1l	ENSMUSG00000040675	chr10	3973118	4167081	+	4435	-0.494906043608883	3.95941875605128	-10.6193663865252	4.29593574025633e-17	1.91212099798809e-13	28.0052442821378
Dbp	Dbp	ENSMUSG00000059824	chr7	45705088	45710203	+	2993	-0.716774709486717	5.91848726937854	-10.382775694355	1.25406164477632e-16	4.18637128567456e-13	27.3844100551224
Nr1d2	Nr1d2	ENSMUSG00000021775	chr14	18204054	18239127	-	5409	-0.318623608931719	6.9983895988637	-9.76488759043473	2.09159054644866e-15	5.5858017133458e-12	24.6570866528064
Mfsd2a	Mfsd2a	ENSMUSG00000028655	chr4	122946850	122961188	-	2250	-0.608123883032482	4.56317108687667	-9.40223819444192	1.09996228910247e-14	2.44796607439755e-11	22.944062890752
Net1	Net1	ENSMUSG00000021215	chr13	3882018	3918220	-	5217	-0.696866827606995	5.04856594485893	-8.94222646868495	9.07699664269493e-14	1.51999550413622e-10	20.9590385255647
Slc7a5	Slc7a5	ENSMUSG00000040010	chr8	121881150	121907694	-	3708	-0.344735304348939	6.49169369582508	-8.94151861160106	9.1065408770237e-14	1.51999550413622e-10	20.9842617117955
Slc2a1	Slc2a1	ENSMUSG00000028645	chr4	119108711	119137983	+	3506	-0.497937996465049	6.98462751325315	-8.64624851496923	3.53196252173645e-13	5.24025506141632e-10	19.6637352138848
Hif3a	Hif3a	ENSMUSG00000004328	chr7	17031507	17062427	-	6710	-1.3874404739977	3.18806944821207	-8.62106236417555	3.96474667876598e-13	5.29412624015622e-10	19.165652915
Slco1a4	Slco1a4	ENSMUSG00000030237	chr6	141805440	141856199	-	6414	-0.37866134275571	6.57372609891106	-8.40876555721267	1.04991795435406e-12	1.23770415064049e-09	18.6026468467533
Atp10a	Atp10a	ENSMUSG00000025324	chr7	58656166	58829420	+	5587	-0.494544593703929	4.55315344405491	-8.39617749266977	1.11229310324915e-12	1.23770415064049e-09	18.5090510918036
Plin4	Plin4	ENSMUSG00000002831	chr17	56100591	56109803	-	6350	-2.2622988076123	2.41613424805624	-8.37578920546052	1.22126493521154e-12	1.25442697537536e-09	17.7145107329337
Ccdc190	Ccdc190	ENSMUSG00000070532	chr1	169928648	169934653	+	1734	0.540093265065374	3.88313912408478	8.17739674668122	3.03019914771346e-12	2.89016065852985e-09	17.4100120057673
Cldn5	Cldn5	ENSMUSG00000041378	chr16	18776847	18778262	+	1416	0.61813615356412	5.18776833277451	8.14442419680016	3.52369851236923e-12	3.13679641571109e-09	17.4226193946055
Xdh	Xdh	ENSMUSG00000024066	chr17	73883895	73950196	-	9175	-0.934912242760484	3.05506802233935	-7.89095307077027	1.12186128593166e-11	9.36263359440337e-09	15.9245982488368
Paqr5	Paqr5	ENSMUSG00000032278	chr9	61953481	62026856	-	3954	-0.625511220344887	2.64303316367777	-7.7707604980839	1.94017301150018e-11	1.52394883662128e-08	15.2334261607072
Abcg2	Abcg2	ENSMUSG00000029802	chr6	58584523	58695676	+	8153	-0.348634615789734	4.62330744560551	-7.66937122721485	3.07731655839566e-11	2.28285600023652e-08	15.3180838643284
Tef	Tef	ENSMUSG00000022389	chr15	81802421	81826863	+	7867	-0.243308493211426	8.55303852851918	-7.57879125160865	4.64347596677622e-11	3.26338603075594e-08	14.9250392580994
Sphk2	Sphk2	ENSMUSG00000057342	chr7	45709467	45718002	-	4159	0.251536162286353	4.87215895484104	7.54996027201158	5.29234990515179e-11	3.53343741417459e-08	14.8008999753963
Sdc4	Sdc4	ENSMUSG00000017009	chr2	164424247	164443887	-	2547	-0.427992999533862	6.17302145268755	-7.52025100685737	6.05550411305428e-11	3.71237032434573e-08	14.6559760884004
Cd93	Cd93	ENSMUSG00000027435	chr2	148436640	148443563	-	6677	0.555157732497368	3.9667976784535	7.51804383898673	6.11638936086319e-11	3.71237032434573e-08	14.589908094613
Smim3	Smim3	ENSMUSG00000038059	chr18	60474191	60501987	-	6828	-0.626323269891849	2.87872407048659	-7.49876143866427	6.67489176941525e-11	3.87520999117399e-08	14.1887027271796
Bhlhe41	Bhlhe41	ENSMUSG00000030256	chr6	145858243	145865558	-	6720	-0.406795878999526	5.33289539347914	-7.38952042797137	1.0943154223653e-10	6.08849743118493e-08	14.0953009085182
Tspan4	Tspan4	ENSMUSG00000025511	chr7	141475240	141493427	+	2178	-0.471358581240285	3.73067534130102	-7.3761975711118	1.16222703940866e-10	6.20768706288956e-08	13.9583322538453
Fabp7	Fabp7	ENSMUSG00000019874	chr10	57784881	57788450	+	1250	0.641259026883167	4.51222939146501	7.25494160151618	2.00860522913592e-10	1.03157329325584e-07	13.5056957949904
Usp2	Usp2	ENSMUSG00000032010	chr9	44067021	44095627	+	4818	-0.44481262391213	6.14879200142169	-6.99238408541686	6.52770982403818e-10	3.22831515853266e-07	12.3451640675263
Bicd2	Bicd2	ENSMUSG00000037933	chr13	49341585	49387026	+	6316	0.182457566603713	6.69787559194106	6.87067494475825	1.12373498673556e-09	5.33142261925191e-07	11.8135487263656
Arntl	Arntl	ENSMUSG00000055116	chr7	113207465	113314126	+	7523	0.443990427345076	5.46801152800716	6.86395444461667	1.15787655177343e-09	5.33142261925191e-07	11.8083398185196
Calr	Calr	ENSMUSG00000003814	chr8	84841850	84846934	-	2880	0.294709805409422	8.32297106317944	6.66322884179632	2.82137143868841e-09	1.25579242736021e-06	10.9423297037367
Gramd3	Gramd3	ENSMUSG00000001700	chr18	56400337	56503792	+	5679	0.308978970478402	4.49362990092433	6.63177519605944	3.24195885221222e-09	1.39476797895863e-06	10.843070674813
Nt5c2	Nt5c2	ENSMUSG00000025041	chr19	46883317	47015153	-	11037	-0.131454659443383	6.56067187547892	-6.62485577398995	3.34251294290991e-09	1.39476797895863e-06	10.7545745338192
Mxd4	Mxd4	ENSMUSG00000037235	chr5	34173883	34187720	-	8483	-0.227930259261275	6.73840611226269	-6.60943346190217	3.57788890449741e-09	1.44774395581073e-06	10.6895246942125
Edn3	Edn3	ENSMUSG00000027524	chr2	174760619	174784042	+	4113	-0.486721539033868	3.09459339325555	-6.54416936506009	4.76965737297405e-09	1.84284244350074e-06	10.33133836715
Klhl40	Klhl40	ENSMUSG00000074001	chr9	121777607	121783818	+	2501	-0.873641452693235	2.00720215177825	-6.54129559298589	4.83033666760473e-09	1.84284244350074e-06	9.8589238484433
Dclre1b	Dclre1b	ENSMUSG00000027845	chr3	103800605	103809444	-	8405	-0.346541347988754	2.99326766591297	-6.52696056480386	5.144627549103e-09	1.90822810175479e-06	10.24622034196
Fgfr3	Fgfr3	ENSMUSG00000054252	chr5	33721674	33737068	+	7158	-0.274051135544105	7.37007019714006	-6.51640244023096	5.38898346924004e-09	1.94484043958817e-06	10.3009261058613
Aif1l	Aif1l	ENSMUSG00000001864	chr2	31950139	31973442	+	4032	0.440803624735079	3.5009795842588	6.46802761429515	6.6638599005959e-09	2.34164529612255e-06	10.095669817804
Skap2	Skap2	ENSMUSG00000059182	chr6	51857422	52012549	-	11357	0.246317529396903	4.24313990971255	6.44970332255243	7.22116739066401e-09	2.47241661968042e-06	10.0778406338678
Tmem100	Tmem100	ENSMUSG00000069763	chr11	90030348	90036508	+	1767	0.348402453437643	3.5520369835355	6.43191804294548	7.80613020436143e-09	2.58352050761326e-06	9.95853602333987
Acat3	Acat3	ENSMUSG00000062480	chr17	12923813	12940600	-	2427	0.366407241388144	2.89404021338353	6.42824594910828	7.93262493912555e-09	2.58352050761326e-06	9.80664307452726
Mmp14	Mmp14	ENSMUSG00000000957	chr14	54431612	54445364	+	5960	0.518708439921103	4.39448087801579	6.37180761955995	1.01523628604679e-08	3.22772622085304e-06	9.75186084342018
Eva1a	Eva1a	ENSMUSG00000035104	chr6	82041043	82093099	+	2805	-0.360922783204618	3.72197269623661	-6.36263083597896	1.05672813527342e-08	3.28150948611767e-06	9.69800413058436
Mpzl1	Mpzl1	ENSMUSG00000026566	chr1	165592240	165634538	-	3550	0.266249940658553	5.15859085279657	6.34055421065522	1.16354343225211e-08	3.531089875196e-06	9.58950770687917
Fzd4	Fzd4	ENSMUSG00000049791	chr7	89404355	89413134	+	6720	-0.483574060460563	4.38790120917613	-6.30339984815445	1.36793195294969e-08	4.05911008171939e-06	9.46528028142468
Lfng	Lfng	ENSMUSG00000029570	chr5	140607320	140615545	+	2505	-0.398928342271154	4.53516720319261	-6.18613552893864	2.27533044567285e-08	6.60488857414557e-06	8.97075989234418
Hspa5	Hspa5	ENSMUSG00000026864	chr2	34771970	34777547	+	4229	0.418975165997254	7.69619510585705	6.10426191407599	3.2399997041067e-08	9.20504596785888e-06	8.56935153867065
Ugp2	Ugp2	ENSMUSG00000001891	chr11	21321138	21371201	-	3069	0.174702535641707	6.3689951092242	6.08165007094331	3.57125076353033e-08	9.93477321779593e-06	8.4589193158347
S100a16	S100a16	ENSMUSG00000074457	chr3	90537254	90543151	+	1617	0.26760698888094	5.74432338322574	6.00770021907232	4.9057961681988e-08	1.33687951497875e-05	8.17218501074045
Pdia6	Pdia6	ENSMUSG00000020571	chr12	17266545	17284770	+	3745	0.289877184380639	6.45831651694984	5.99866061415249	5.09947720254014e-08	1.36186638171037e-05	8.11301715573828
Fkbp5	Fkbp5	ENSMUSG00000024222	chr17	28399094	28517527	-	9468	-0.532723105241066	5.28972731566115	-5.95623038951099	6.11421396204177e-08	1.60084507912047e-05	7.97965450632406
Lsr	Lsr	ENSMUSG00000001247	chr7	30957770	30973464	-	2172	0.384204702760035	3.25417463831635	5.93004304515895	6.83733315260159e-08	1.75574826128248e-05	7.89978778018343
Arhgef19	Arhgef19	ENSMUSG00000028919	chr4	141239499	141257564	+	4242	0.231986317163755	4.58487809911102	5.91440480195445	7.30871450363761e-08	1.84138235409572e-05	7.85483513802163
Cables1	Cables1	ENSMUSG00000040957	chr18	11839220	11945630	+	3839	-0.28772518903265	4.86630171806102	-5.89173034291189	8.04960615718957e-08	1.99048872253615e-05	7.74081812215243
Col4a1	Col4a1	ENSMUSG00000031502	chr8	11198423	11312826	-	7464	0.289784399570417	6.33081533463816	5.88229306697804	8.37935866087155e-08	2.00500779581585e-05	7.63334132406445
Epas1	Epas1	ENSMUSG00000024140	chr17	86753700	86833410	+	5590	-0.18877894093419	8.07015526537231	-5.88147311116345	8.40863001315718e-08	2.00500779581585e-05	7.65635115537484
Sgms1	Sgms1	ENSMUSG00000040451	chr19	32122727	32389714	-	10546	-0.227719869918318	5.70302248776173	-5.87684832147713	8.57562619481358e-08	2.00895327332185e-05	7.63001428273587
Slc16a12	Slc16a12	ENSMUSG00000009378	chr19	34668403	34747289	-	4170	-0.59929739711608	2.39904272998442	-5.85243923716247	9.51266072857653e-08	2.19004411566694e-05	7.42766275096833
Mgme1	Mgme1	ENSMUSG00000027424	chr2	144270663	144281227	+	3348	0.346587708285797	2.68638064259273	5.83771720236001	1.01258666347512e-07	2.29170673175987e-05	7.43252526550031
Utp15	Utp15	ENSMUSG00000041747	chr13	98246845	98263041	-	5847	-0.151078806268094	4.79996303621222	-5.82053114175611	1.08910983439048e-07	2.39081229864243e-05	7.45856783863994
Xbp1	Xbp1	ENSMUSG00000020484	chr11	5520659	5525893	+	3248	0.237193535398787	5.89953822436624	5.81986548401547	1.09218565279105e-07	2.39081229864243e-05	7.38915341867895
Kdr	Kdr	ENSMUSG00000062960	chr5	75932827	75978458	-	9030	0.442503157145487	4.6506789272044	5.80190260581031	1.17849605251128e-07	2.50626135109496e-05	7.39678305632302
Ism1	Ism1	ENSMUSG00000074766	chr2	139678178	139758581	+	2965	-0.444495823779039	2.35757300987385	-5.80110821537698	1.182464353471e-07	2.50626135109496e-05	7.20288445613406
Ncapd2	Ncapd2	ENSMUSG00000038252	chr6	125168007	125191701	-	6267	-0.229587230445803	4.77890735637733	-5.77967727614199	1.29463038640315e-07	2.70112492963144e-05	7.29415088526443
Aff1	Aff1	ENSMUSG00000029313	chr5	103692374	103855322	+	9458	-0.296482721265488	4.94749017277094	-5.77195492821687	1.3375640257487e-07	2.7477680670496e-05	7.25119414159695
Adam19	Adam19	ENSMUSG00000011256	chr11	46055992	46147343	+	7115	0.273444088543542	4.79416141032358	5.75263360215909	1.45122227992338e-07	2.93608653088135e-05	7.18436117586012
Zfp36l1	Zfp36l1	ENSMUSG00000021127	chr12	80107754	80113013	-	2990	0.278082903039333	5.34941145834322	5.72728061497175	1.61488925653328e-07	3.2184501854461e-05	7.04515258970846
Ccl9	Ccl9	ENSMUSG00000019122	chr11	83572919	83578636	-	3045	-0.5409585701883	0.772807015897061	-5.71839288647592	1.67646106928793e-07	3.2920271556179e-05	6.20413393819055
Hspa8	Hspa8	ENSMUSG00000015656	chr9	40800984	40810087	+	4301	0.226126891950825	10.1241381271776	5.71062423596798	1.73216871345519e-07	3.35212301895176e-05	7.00275371048026
Sema4c	Sema4c	ENSMUSG00000026121	chr1	36548639	36558349	-	4593	0.194239366890103	4.24689477932752	5.70355470983996	1.78444401309846e-07	3.37813030315648e-05	7.02294058014753
Kirrel2	Kirrel2	ENSMUSG00000036915	chr7	30447534	30457690	-	3939	-0.556639338129221	3.46185494901559	-5.69915161014841	1.8177839441974e-07	3.37813030315648e-05	7.01142261109455
Nfkb2	Nfkb2	ENSMUSG00000025225	chr19	46304320	46312385	+	4584	0.438486368193949	1.96962310213805	5.69866529756879	1.8215036458269e-07	3.37813030315648e-05	6.6908151883274
Spaar	Spaar	ENSMUSG00000028475	chr4	43730034	43759462	+	5195	0.590126547626699	1.4161961873952	5.66056538213059	2.13743311292516e-07	3.90974580231365e-05	6.35411384709908
Itga6	Itga6	ENSMUSG00000027111	chr2	71745616	71858416	+	9142	0.241697960243415	5.44401905183834	5.65642087811374	2.17489267165183e-07	3.9245056546712e-05	6.75017212142109
Cry1	Cry1	ENSMUSG00000020038	chr10	85131700	85185064	-	3340	-0.275166883544308	4.21359125749903	-5.61125828815361	2.6273587736176e-07	4.67774956054877e-05	6.65519946764425
Hsp90b1	Hsp90b1	ENSMUSG00000020048	chr10	86690209	86705509	-	4032	0.229464290462457	8.01910702932747	5.59682952313121	2.79054395960967e-07	4.84081299388925e-05	6.49809640864792
Ccdc116	Ccdc116	ENSMUSG00000022768	chr16	17139064	17147229	-	4501	-0.494721910835274	1.69834357729453	-5.59675156903772	2.79145211210569e-07	4.84081299388925e-05	6.23715398041579
Mt2	Mt2	ENSMUSG00000031762	chr8	94172664	94173568	+	588	-0.36656247539508	6.23750639335728	-5.58295900136669	2.95679221285423e-07	5.0618008228516e-05	6.41900897016849
Klf15	Klf15	ENSMUSG00000030087	chr6	90462576	90475238	+	2791	-0.408849980422404	5.03744400284964	-5.53860163945447	3.55651867359079e-07	6.01141694284277e-05	6.30184942770173
Mertk	Mertk	ENSMUSG00000014361	chr2	128698956	128802894	+	4336	-0.401327128666102	6.10780849983472	-5.53465861526559	3.61528247550041e-07	6.03435836191962e-05	6.22664371807264
Per2	Per2	ENSMUSG00000055866	chr1	91415982	91459324	-	5856	-0.431107563429102	5.39390607220688	-5.53034267938068	3.68069766704127e-07	6.06769826518545e-05	6.24144779969428
Eny2	Eny2	ENSMUSG00000022338	chr15	44428042	44438256	+	5763	-0.125027059451583	5.9230854196751	-5.52418340224292	3.77607005426449e-07	6.14900773592607e-05	6.19163374187362
Nfil3	Nfil3	ENSMUSG00000056749	chr13	52967209	52981073	-	2026	0.423636238069869	3.19606442993386	5.51126943393658	3.98398404843809e-07	6.34111259138381e-05	6.25125946585884
Galnt15	Galnt15	ENSMUSG00000021903	chr14	32028989	32062197	+	6326	-0.737041639600254	2.63278751878166	-5.50660861605069	4.06175143003827e-07	6.34111259138381e-05	6.17503584945746
Pdia4	Pdia4	ENSMUSG00000025823	chr6	47796141	47813430	-	2399	0.307060841217639	5.24843502977159	5.50647922163202	4.06393155789806e-07	6.34111259138381e-05	6.1603789258752
Cirbp	Cirbp	ENSMUSG00000045193	chr10	80165985	80172786	+	2604	-0.384197296541075	5.87945794428805	-5.50529168690702	4.08399373068979e-07	6.34111259138381e-05	6.11871114716134
Sgk1	Sgk1	ENSMUSG00000019970	chr10	21882184	21999903	+	4903	-0.829888123281527	6.37948898992035	-5.48660349243053	4.41282510974637e-07	6.7729257115452e-05	6.03423381905828
Abcb1a	Abcb1a	ENSMUSG00000040584	chr5	8660077	8748575	+	5480	-0.192607787389864	5.76111353606192	-5.48146844373808	4.50764478959784e-07	6.8051934724444e-05	6.02846568696721
