gene_name_unique	gene_name	gene_id	seqnames	start	end	strand	exonic_length	logFC	AveExpr	t	P.Value	adj.P.Val	B
Dbp	Dbp	ENSMUSG00000059824	chr7	45705088	45710203	+	2993	-1.15636460781971	5.91848726937854	-16.5871491244983	5.58441874431872e-28	7.45687434928879e-24	52.8637934749122
Nr1d2	Nr1d2	ENSMUSG00000021775	chr14	18204054	18239127	-	5409	-0.500651308157689	6.9983895988637	-15.4836057761963	4.15014079286212e-26	2.7708415003544e-22	48.7570715567956
Ciart	Ciart	ENSMUSG00000038550	chr3	95878503	95882251	-	2261	-1.43952748983845	3.79484257412875	-14.9114922416464	4.1171978097697e-25	1.83256474512849e-21	45.4127288718907
Fmo2	Fmo2	ENSMUSG00000040170	chr1	162874317	162898726	-	5609	-1.67758397873042	1.10897704665536	-11.3614784922717	1.53457545241372e-18	5.1227965040201e-15	28.2148842382842
Per2	Per2	ENSMUSG00000055866	chr1	91415982	91459324	-	5856	-0.838805083863631	5.39390607220688	-10.6164415630761	4.35310325192267e-17	1.16253975445847e-13	28.4569503930119
Slc2a1	Slc2a1	ENSMUSG00000028645	chr4	119108711	119137983	+	3506	-0.596781184849903	6.98462751325315	-10.4794394225339	8.09138601538235e-17	1.80073795772334e-13	27.8647881481247
Bhlhe41	Bhlhe41	ENSMUSG00000030256	chr6	145858243	145865558	-	6720	-0.573136429765278	5.33289539347914	-10.4149892030201	1.08360674654503e-16	2.06705726951654e-13	27.5653717365336
Mthfd1l	Mthfd1l	ENSMUSG00000040675	chr10	3973118	4167081	+	4435	-0.474036074313546	3.95941875605128	-10.2254097551364	2.56261529195117e-16	4.27732524917799e-13	26.5562243968976
Tspan4	Tspan4	ENSMUSG00000025511	chr7	141475240	141493427	+	2178	-0.656879276063269	3.73067534130102	-10.1050938083908	4.43016886043155e-16	6.57289386592694e-13	25.9334620241792
Paqr5	Paqr5	ENSMUSG00000032278	chr9	61953481	62026856	-	3954	-0.83313169542128	2.64303316367777	-10.0332797581938	6.14457056391738e-16	8.20484507399888e-13	24.9801577408871
Nfil3	Nfil3	ENSMUSG00000056749	chr13	52967209	52981073	-	2026	0.720611625816689	3.19606442993386	9.82944191774325	1.5573476948021e-15	1.73458375615631e-12	24.5437117487818
Slc7a5	Slc7a5	ENSMUSG00000040010	chr8	121881150	121907694	-	3708	-0.375814623964233	6.49169369582508	-9.82923417097293	1.55882611202544e-15	1.73458375615631e-12	24.9623205958432
Cldn5	Cldn5	ENSMUSG00000041378	chr16	18776847	18778262	+	1416	0.727063482480158	5.18776833277451	9.80808001798452	1.7169737858384e-15	1.76359622786925e-12	24.8641379526911
Hif3a	Hif3a	ENSMUSG00000004328	chr7	17031507	17062427	-	6710	-1.69763704208965	3.18806944821207	-9.6954414244102	2.87317390197823e-15	2.74039222236538e-12	23.8925598298484
Arntl	Arntl	ENSMUSG00000055116	chr7	113207465	113314126	+	7523	0.588188893668449	5.46801152800716	9.27994467824723	1.9270051014972e-14	1.71541994135281e-11	22.5014462237677
Ccdc190	Ccdc190	ENSMUSG00000070532	chr1	169928648	169934653	+	1734	0.589143455790503	3.88313912408478	9.25665111921398	2.14427785173821e-14	1.78953388464127e-11	22.2950426387178
Mfsd2a	Mfsd2a	ENSMUSG00000028655	chr4	122946850	122961188	-	2250	-0.594588339232605	4.56317108687667	-9.13905567703079	3.67778749224939e-14	2.88879390494154e-11	21.8558179684184
Lfng	Lfng	ENSMUSG00000029570	chr5	140607320	140615545	+	2505	-0.596713619134242	4.53516720319261	-9.10898655268734	4.22195987719774e-14	3.13199056890119e-11	21.7196317750528
Ppp1r3c	Ppp1r3c	ENSMUSG00000067279	chr19	36731731	36736653	-	2725	0.466642639158839	5.35578560843816	8.84469658178651	1.42034667256542e-13	9.98204690461368e-11	20.5479308581278
Tef	Tef	ENSMUSG00000022389	chr15	81802421	81826863	+	7867	-0.278428902561435	8.55303852851918	-8.73923401915191	2.3049250527837e-13	1.53888321149104e-10	20.0739193599815
Pik3c2a	Pik3c2a	ENSMUSG00000030660	chr7	116337265	116443449	-	11133	-0.25164813739662	5.56549385525746	-8.43481459985739	9.31716209176832e-13	5.92438406720868e-10	18.7031500972099
Kctd10	Kctd10	ENSMUSG00000001098	chr5	114363567	114380508	-	4039	0.224118448326135	5.84332173108369	8.4007834967802	1.08905178009136e-12	6.61004928161816e-10	18.5421944124803
Slco1a4	Slco1a4	ENSMUSG00000030237	chr6	141805440	141856199	-	6414	-0.367110335971248	6.57372609891106	-8.22387381468556	2.44946676070506e-12	1.42207520242151e-09	17.7401320494482
Adap2	Adap2	ENSMUSG00000020709	chr11	80154105	80178958	+	1785	-0.456805299395473	3.53808697098654	-8.14022660026399	3.59202441238179e-12	1.94762513930563e-09	17.3219351658414
Atp10a	Atp10a	ENSMUSG00000025324	chr7	58656166	58829420	+	5587	-0.482360357030213	4.55315344405491	-8.12881849710681	3.78447101653183e-12	1.94762513930563e-09	17.3572026868028
