gene_name_unique	gene_name	gene_id	seqnames	start	end	strand	exonic_length	logFC	AveExpr	t	P.Value	adj.P.Val	B
Clybl	Clybl	ENSMUSG00000025545	chr14	122181704	122402234	+	1444	-0.165844716506818	4.00144430438866	-4.82206231990142	6.41957590954045e-06	0.0577122396084009	3.35355544306106
Wdr25	Wdr25	ENSMUSG00000040877	chr12	108893631	109028452	+	4793	-0.225487049110797	3.3459088484639	-4.74561730729722	8.64408591453619e-06	0.0577122396084009	2.79046633754199
Slc10a7	Slc10a7	ENSMUSG00000031684	chr8	78509346	78734003	+	9442	-0.261064924072556	3.22262504492391	-4.62540983081948	1.37342151709372e-05	0.0611309917258415	2.37258685222792
Fst	Fst	ENSMUSG00000021765	chr13	114452290	114458951	-	4589	0.526969005410727	1.15157471245065	4.2227008930554	6.18724434512559e-05	0.183210916084299	-0.148031752559842
Arfgap1	Arfgap1	ENSMUSG00000027575	chr2	180967225	180982526	+	5367	0.131532685956082	6.67214746345992	4.13070002525854	8.63451954274466e-05	0.183210916084299	1.33059846477519
Slc25a15	Slc25a15	ENSMUSG00000031482	chr8	22375551	22398597	-	5629	-0.177725759385709	3.88977619353317	-4.1017541031548	9.58087431296093e-05	0.183210916084299	1.07821555841574
Klhdc4	Klhdc4	ENSMUSG00000040263	chr8	121796313	121829569	-	3708	0.14026259246208	4.76775654687782	4.09744234500201	9.73010971786146e-05	0.183210916084299	1.19476984240905
Net1	Net1	ENSMUSG00000021215	chr13	3882018	3918220	-	5217	0.301196200576308	5.04856594485893	3.98964579820461	0.000142763927973096	0.183210916084299	0.876164090935106
Chpf2	Chpf2	ENSMUSG00000038181	chr5	24586741	24594556	+	5588	0.159505569483356	6.22660385205011	3.96809478683106	0.000154027400551986	0.183210916084299	0.814630672057613
Zc3h8	Zc3h8	ENSMUSG00000027387	chr2	128926268	128944077	-	1624	0.234807961900132	3.01419374353672	3.96117149636245	0.000157823129243914	0.183210916084299	0.380194583306831
Sart3	Sart3	ENSMUSG00000018974	chr5	113742446	113772510	-	5657	0.109297130790964	5.64726639654497	3.93793576986388	0.000171228308012042	0.183210916084299	0.721394847670863
Stk25	Stk25	ENSMUSG00000026277	chr1	93619751	93658659	-	5812	0.093226800057745	7.57004433427835	3.93679706481887	0.000171912523216721	0.183210916084299	0.717864727751237
Cth	Cth	ENSMUSG00000028179	chr3	157894248	157925077	-	2791	-0.266164369286511	2.12226354174556	-3.88292141929298	0.000207450809769605	0.183210916084299	-0.256668593257507
Gkn3	Gkn3	ENSMUSG00000030048	chr6	87383256	87388935	-	856	0.585414767517632	1.26253374455838	3.86766548648855	0.000218727564379798	0.183210916084299	-0.74495514419937
Sgsm3	Sgsm3	ENSMUSG00000042303	chr15	80977765	81012290	+	4477	0.109616494160269	5.86163515963134	3.86336104760225	0.000222013805575155	0.183210916084299	0.491059127233099
Klhl40	Klhl40	ENSMUSG00000074001	chr9	121777607	121783818	+	2501	0.483127921393822	2.00720215177825	3.8346717036992	0.000245152759980984	0.183210916084299	-0.3895164130536
Hirip3	Hirip3	ENSMUSG00000042606	chr7	126861972	126865377	+	3265	0.135799280664882	4.48172203633404	3.81809284525484	0.000259556121373345	0.183210916084299	0.331322358146569
Zfp36l1	Zfp36l1	ENSMUSG00000021127	chr12	80107754	80113013	-	2990	-0.18307577852917	5.34941145834322	-3.814609167771	0.0002626837160315	0.183210916084299	0.343843245789
Vsig10	Vsig10	ENSMUSG00000066894	chr5	117319083	117355005	+	5305	-0.297442762032554	1.97026623410695	-3.8045399378104	0.000271927257816026	0.183210916084299	-0.494128646573308
Hunk	Hunk	ENSMUSG00000053414	chr16	90386013	90499553	+	8402	0.291029588129752	4.7669219126802	3.79129929988876	0.000284555390624551	0.183210916084299	0.264969268377035
Ndufa12	Ndufa12	ENSMUSG00000020022	chr10	94198720	94221443	+	1569	-0.0907566561847926	6.18323266212921	-3.78765085273841	0.000288132197840956	0.183210916084299	0.258349962711919
Tmem104	Tmem104	ENSMUSG00000045980	chr11	115187487	115247023	+	4610	-0.111383863536273	4.77876247116575	-3.74333790445222	0.000335144033844646	0.187259651834117	0.125227568280017
Dipk2a	Dipk2a	ENSMUSG00000045414	chr9	94517864	94538081	-	3950	0.201769846365278	5.07335341650791	3.74235955802942	0.000336260187514443	0.187259651834117	0.126804519132938
Foxq1	Foxq1	ENSMUSG00000038415	chr13	31556134	31560976	+	4843	-0.304710837141476	1.98986014131094	-3.72249860266402	0.000359699086733797	0.187259651834117	-0.704053762373534
Adam10	Adam10	ENSMUSG00000054693	chr9	70678997	70780229	+	4913	0.0811718003799085	6.49985999888631	3.7129895043623	0.000371464307558855	0.187259651834117	0.0324559826004966
Kdm1a	Kdm1a	ENSMUSG00000036940	chr4	136550540	136602723	-	5179	0.0681208763379972	6.01834945932767	3.70522545971621	0.000381341162070999	0.187259651834117	0.0111866109306771
Rbm14	Rbm14	ENSMUSG00000006456	chr19	4800569	4811634	-	3910	-0.121979721839579	5.08725010773086	-3.69022417432214	0.000401136913621262	0.187259651834117	-0.0263057324851657
