gene_name_unique	gene_name	gene_id	seqnames	start	end	strand	exonic_length	logFC	AveExpr	t	P.Value	adj.P.Val	B
Nr1d2	Nr1d2	ENSMUSG00000021775	chr14	18204054	18239127	-	5409	-0.152767318583025	6.9983895988637	-4.72236400213972	9.45844855386756e-06	0.0647818145654011	3.30491376994997
Vegfa	Vegfa	ENSMUSG00000023951	chr17	46016993	46032369	-	4285	0.236435864809992	6.41744475362152	4.71576171166418	9.70296031834061e-06	0.0647818145654011	3.28348966414292
Gan	Gan	ENSMUSG00000052557	chr8	117158135	117215997	+	13463	0.137684708565939	5.43796126405223	4.58351732257126	1.61162204213371e-05	0.0662501489791969	2.8026114741433
Gm17606	Gm17606	ENSMUSG00000091306	chr14	54640952	54648293	+	234	0.333842809092144	1.20910888716927	4.49105394148021	2.28773992452718e-05	0.0662501489791969	0.279742531817728
Tut1	Tut1	ENSMUSG00000071645	chr19	8953847	8966210	+	3608	0.127179450299319	4.5282085690388	4.46953692285273	2.48072152247423e-05	0.0662501489791969	2.32621158780759
Mllt3	Mllt3	ENSMUSG00000028496	chr4	87769925	88033364	-	12004	-0.141684438818935	5.16629101146312	-4.31174622932115	4.46401737235859e-05	0.0993467066218404	1.8881477838017
Ldlr	Ldlr	ENSMUSG00000032193	chr9	21723483	21749919	+	9622	0.314888400275469	5.31570188953907	4.18583981140575	7.07462837864013e-05	0.134953589628545	1.49233653791053
Gpalpp1	Gpalpp1	ENSMUSG00000022008	chr14	76086236	76110760	-	5389	-0.107836395373721	5.5360322469969	-4.12454050468362	8.82804439123202e-05	0.1368844120395	1.30379226702087
Ptpn22	Ptpn22	ENSMUSG00000027843	chr3	103859795	103912247	+	6775	0.451527518088977	0.432374587633166	4.11226961884727	9.22608933090314e-05	0.1368844120395	-0.937661099620624
Xkr7	Xkr7	ENSMUSG00000042631	chr2	153031852	153055775	+	2711	0.381954472130224	2.06655449624117	4.02899153914129	0.000124205682937875	0.151987807668655	0.0244162827640135
Zfp366	Zfp366	ENSMUSG00000050919	chr13	99184823	99250656	+	6382	0.273379194766825	3.72318706889356	4.02673278175172	0.000125205263562885	0.151987807668655	0.7568580276542
Nr1d1	Nr1d1	ENSMUSG00000020889	chr11	98767932	98775333	-	3077	-0.211404348383154	6.85498762217097	-3.91892779707035	0.000182998669785422	0.203631769803729	0.662255445495538
Dll4	Dll4	ENSMUSG00000027314	chr2	119325784	119335962	+	3852	0.342367456439106	1.99870187489719	3.87627749919579	0.000212291733532219	0.21784418623406	-0.338928894999228
Chac2	Chac2	ENSMUSG00000020309	chr11	30976707	30986350	-	1315	-0.148024021606417	3.09604047215432	-3.85516819781772	0.000228399506274009	0.21784418623406	0.0961245486757099
Etv6	Etv6	ENSMUSG00000030199	chr6	134035700	134270158	+	5983	-0.218377798687828	4.64707441235645	-3.78553754990445	0.000290223576377569	0.250889646184149	0.235983639396755
Ppp1r3c	Ppp1r3c	ENSMUSG00000067279	chr19	36731731	36736653	-	2725	0.198348331535106	5.35578560843816	3.7752390099873	0.000300624154792659	0.250889646184149	0.225667106210105
Rnf114	Rnf114	ENSMUSG00000006418	chr2	167492645	167516173	+	3356	0.0797823382908707	5.99407681993729	3.73679953230312	0.000342670933942014	0.269157940054571	0.108427105053788
Kmt2d	Kmt2d	ENSMUSG00000048154	chr15	98831669	98871204	-	19931	0.149087309952962	7.84231108248715	3.68143438375566	0.000413186122579556	0.306515238600267	-0.0538423277889049
Sox6	Sox6	ENSMUSG00000051910	chr7	115470872	116038796	-	14832	0.160023015772704	5.28996333178859	3.66055909143242	0.000443196582777176	0.311473893148612	-0.112963059656892
Nup188	Nup188	ENSMUSG00000052533	chr2	30286397	30344266	+	6241	0.110868701604703	4.85397704389103	3.63086942821767	0.000489465897265054	0.326791906309013	-0.203010591755819
Dbp	Dbp	ENSMUSG00000059824	chr7	45705088	45710203	+	2993	-0.25623404338617	5.91848726937854	-3.60663532516857	0.00053059658219358	0.337383626763375	-0.271010564264059
Klf10	Klf10	ENSMUSG00000037465	chr15	38291463	38300706	-	4179	0.472048150562896	4.57476085746059	3.57193284223872	0.000595239999537107	0.342454364068025	-0.372069738203719
Csmd2	Csmd2	ENSMUSG00000028804	chr4	127987857	128567656	+	17077	0.246771118659872	6.66519312799985	3.55853642615306	0.000622137426800046	0.342454364068025	-0.418960993519537
