gene_name_unique	gene_name	gene_id	seqnames	start	end	strand	exonic_length	logFC	AveExpr	t	P.Value	adj.P.Val	B
Sik2	Sik2	ENSMUSG00000037112	chr9	50892801	51009073	-	9539	0.322992646133081	5.47557075307119	7.19453501294069	2.63628077528966e-10	1.96481039291226e-06	13.1147187329838
Zc3h6	Zc3h6	ENSMUSG00000042851	chr2	128967402	129018563	+	5668	-0.35438404747814	3.6823413857715	-7.17006786734544	2.94287484896616e-10	1.96481039291226e-06	12.2977145490831
Map3k13	Map3k13	ENSMUSG00000033618	chr16	21794346	21933439	+	8714	0.290679565927823	5.35069909141092	7.02636305164039	5.60708846746964e-10	2.49571507687074e-06	12.3926402695014
Tet3	Tet3	ENSMUSG00000034832	chr6	83362373	83459084	-	16695	0.272946280707625	6.39758939502629	6.84123930265723	1.28107415459905e-09	4.27654579659026e-06	11.67561301945
Serinc2	Serinc2	ENSMUSG00000023232	chr4	130253495	130279205	-	2319	0.911210372963679	3.03172358529159	6.72056372003426	2.18911091725656e-09	5.84623961562536e-06	10.10359188044
Per2	Per2	ENSMUSG00000055866	chr1	91415982	91459324	-	5856	0.517186464280235	5.39390607220688	6.62398427824404	3.35539482242607e-09	7.46743117730921e-06	10.6972504879099
Zfp366	Zfp366	ENSMUSG00000050919	chr13	99184823	99250656	+	6382	0.424163520668096	3.72318706889356	6.50559870863089	5.6509201997195e-09	1.07795339181221e-05	9.72747209430179
Rara	Rara	ENSMUSG00000037992	chr11	98927818	98974942	+	4365	0.416897377284703	3.80154509891399	6.38504354860011	9.58215369417847e-09	1.59938122847956e-05	9.37526277617104
Zswim4	Zswim4	ENSMUSG00000035671	chr8	84210678	84237055	-	4625	0.223244277828917	4.58338686306299	6.25461600010115	1.6910362315256e-08	2.50893408884014e-05	9.11894121130628
Hunk	Hunk	ENSMUSG00000053414	chr16	90386013	90499553	+	8402	-0.440358804144578	4.7669219126802	-5.9979429611775	5.11517285645853e-08	6.83029031522907e-05	8.1371075302253
Jade2	Jade2	ENSMUSG00000020387	chr11	51813455	51857653	-	10760	0.199130438527873	6.42027352267928	5.90318134887003	7.66663097429296e-08	9.30659303633945e-05	7.82667045736105
P4ha1	P4ha1	ENSMUSG00000019916	chr10	59323296	59373304	+	4114	0.3286079282264	5.85601432082465	5.87068495226076	8.80326924561459e-08	9.79583785305764e-05	7.69249324038058
Nuak1	Nuak1	ENSMUSG00000020032	chr10	84370905	84440597	-	5625	0.344073817953864	6.35296475139559	5.79972882427808	1.18938626155928e-07	0.000122168267312316	7.41398899804683
Spred2	Spred2	ENSMUSG00000045671	chr11	19924375	20024026	+	4619	0.27557205202021	6.58022044219157	5.63178184901583	2.41129453706954e-07	0.000229985828239211	6.75040491136341
Pdgfb	Pdgfb	ENSMUSG00000000489	chr15	79995874	80014977	-	4161	0.310730195134279	4.89421357629303	5.59523309614217	2.8092001399918e-07	0.000247538905758252	6.57596903487734
Hivep3	Hivep3	ENSMUSG00000028634	chr4	119733784	120138045	+	17627	0.271074027806307	6.83373646819752	5.57324325639768	3.07900227964758e-07	0.000247538905758252	6.52085750183638
Cbfa2t3	Cbfa2t3	ENSMUSG00000006362	chr8	122625141	122699109	-	8373	0.421768384768167	5.14777575696676	5.56550565229697	3.17986965001618e-07	0.000247538905758252	6.47810377276248
Plekhm1	Plekhm1	ENSMUSG00000034247	chr11	103364275	103412687	-	5968	0.145493129999413	5.22881549053398	5.55393057504623	3.3368533690171e-07	0.000247538905758252	6.43118060795907
Sntb2	Sntb2	ENSMUSG00000041308	chr8	106935750	107019714	+	10350	0.338978727515997	5.15293752860041	5.4607954222946	4.91003462949867e-07	0.000327781636588969	6.07095144288833
Setd1b	Setd1b	ENSMUSG00000038384	chr5	123142193	123168629	+	12068	0.159376246645331	6.22154373148058	5.4573623654736	4.9801882693255e-07	0.000327781636588969	6.06996424522898
Spen	Spen	ENSMUSG00000040761	chr4	141467890	141538597	-	14089	0.172782202542802	6.9289019820658	5.44901210342992	5.15495721438505e-07	0.000327781636588969	6.03763695448558
Trib2	Trib2	ENSMUSG00000020601	chr12	15791727	15816922	-	4335	0.256192952578002	5.67570259711983	5.38306425732278	6.76381370422131e-07	0.000410532747238487	5.78279369334366
Pprc1	Pprc1	ENSMUSG00000055491	chr19	46044886	46072915	+	6284	0.194512485032611	4.83825841375937	5.26044306684082	1.11662952469458e-06	0.000648276262749856	5.2968355576389
Mafg	Mafg	ENSMUSG00000051510	chr11	120625117	120633600	-	5613	0.162006727131692	6.85580826455601	5.24074307444795	1.20971872459541e-06	0.00066092418070211	5.23853908063506
Gfpt2	Gfpt2	ENSMUSG00000020363	chr11	49794178	49838613	+	5591	-0.413555095866838	3.35599404310231	-5.2351694684994	1.23740766251425e-06	0.00066092418070211	4.89061891741748
Elfn2	Elfn2	ENSMUSG00000043460	chr15	78667331	78718771	-	8112	0.185321878990649	7.98031908047444	5.20543844813598	1.39592498790564e-06	0.000716914860134768	5.10674757938779
Slc26a2	Slc26a2	ENSMUSG00000034320	chr18	61192919	61211612	-	12370	-0.325308101396574	4.04034639042609	-5.18821357110708	1.49668564945772e-06	0.000740194202859592	4.93656162768068
Crebbp	Crebbp	ENSMUSG00000022521	chr16	4081328	4213997	-	13540	0.125551730499941	6.67226295816644	5.17404463229376	1.58487698041862e-06	0.000755816511411781	4.98542863390157
Midn	Midn	ENSMUSG00000035621	chr10	80148272	80158368	+	4307	0.346169719829216	6.09400496564171	5.08092901704603	2.30483295177431e-06	0.00106125635879456	4.63634493291481
Brca2	Brca2	ENSMUSG00000041147	chr5	150522630	150570329	+	13643	-0.359393322939707	2.53838309029301	-5.05765349746182	2.52978680313072e-06	0.00112600810607348	3.86067483869169
Fam129b	Fam129b	ENSMUSG00000026796	chr2	32876114	32925254	+	4672	0.188259694300285	5.50817361393347	5.01808745796692	2.96236385415256e-06	0.00127601434014513	4.40669088680435
Sbk1	Sbk1	ENSMUSG00000042978	chr7	126248862	126295016	+	4478	0.26085010654389	6.58387606551368	5.00252585348554	3.15161182386504e-06	0.00131510852137719	4.34256204662189
Arap3	Arap3	ENSMUSG00000024451	chr18	37972628	37998969	-	7967	0.243296579605659	3.94455105602077	4.9869583103824	3.3527270326571e-06	0.00135663527475971	4.20593606085334
Wdfy2	Wdfy2	ENSMUSG00000014547	chr14	62837678	62961509	+	9185	0.149802994493039	5.36817572247501	4.95711742721599	3.77385776280522e-06	0.0014740724292797	4.18315208198066
Dipk2a	Dipk2a	ENSMUSG00000045414	chr9	94517864	94538081	-	3950	-0.255697984691135	5.07335341650791	-4.94428355151926	3.9704633691868e-06	0.0014740724292797	4.13624223083782
Gse1	Gse1	ENSMUSG00000031822	chr8	120228456	120581390	+	10351	0.231670320065285	6.68472693236655	4.94404990540451	3.97413371183024e-06	0.0014740724292797	4.12608376030837
Anks1	Anks1	ENSMUSG00000024219	chr17	27909306	28062775	+	10136	0.173107211547446	5.89467426766237	4.91780119652875	4.40825299765019e-06	0.00159090276426008	4.033823686746
Ankrd11	Ankrd11	ENSMUSG00000035569	chr8	122883822	123042277	-	16580	0.0842000706759567	8.14988061487036	4.89867201665585	4.75342188282065e-06	0.00167032743161327	3.96721134719728
Klf11	Klf11	ENSMUSG00000020653	chr12	24651274	24662789	+	4340	-0.304906273350003	3.09454849363742	-4.87593864795774	5.19798565489937e-06	0.00173826746661863	3.57465363614342
Ssh2	Ssh2	ENSMUSG00000037926	chr11	77216287	77460220	+	18519	0.0986051568270891	6.12362775555519	4.87139416523222	5.29159542452646e-06	0.00173826746661863	3.86026231945128
Myh9	Myh9	ENSMUSG00000022443	chr15	77760587	77842175	-	12928	0.155558133086322	7.02921547836043	4.86688828046744	5.3860316626652e-06	0.00173826746661863	3.84408073208226
Ptpn1	Ptpn1	ENSMUSG00000027540	chr2	167932057	167979385	+	5533	0.198009732081307	5.81754535813008	4.86306360964377	5.46747798981372e-06	0.00173826746661863	3.83372075295466
Samd4b	Samd4b	ENSMUSG00000109336	chr7	28399522	28598144	-	4672	0.134725715690992	6.53298036868753	4.85072880715736	5.73840944234359e-06	0.00178197630892125	3.78281714675906
Mtf1	Mtf1	ENSMUSG00000028890	chr4	124802104	124849800	+	8907	0.129281013827284	5.23761074522495	4.82764754043461	6.28096050041916e-06	0.00189166938960516	3.71234824134364
