gene_name_unique	gene_name	gene_id	seqnames	start	end	strand	exonic_length	logFC	AveExpr	t	P.Value	adj.P.Val	B
Ciart	Ciart	ENSMUSG00000038550	chr3	95878503	95882251	-	2261	-0.926721515658266	3.79484257412875	-10.7443994996041	2.44279626456826e-17	3.261865852078e-13	28.080419207113
Fmo2	Fmo2	ENSMUSG00000040170	chr1	162874317	162898726	-	5609	-1.2744560893201	1.10897704665536	-9.29639186825755	1.78700161995263e-14	1.19309163156137e-10	18.5713029047239
Dbp	Dbp	ENSMUSG00000059824	chr7	45705088	45710203	+	2993	-0.565274316222126	5.91848726937854	-8.39773415179247	1.10438350270625e-12	4.65975773097181e-09	18.5229854206701
Mfsd2a	Mfsd2a	ENSMUSG00000028655	chr4	122946850	122961188	-	2250	-0.527045850107212	4.56317108687667	-8.34663432382212	1.39586841338181e-12	4.65975773097181e-09	18.1769692857765
Hif3a	Hif3a	ENSMUSG00000004328	chr7	17031507	17062427	-	6710	-1.27042647161285	3.18806944821207	-8.1289830404197	3.78162345703322e-12	1.00992036043529e-08	16.7659795036117
Per2	Per2	ENSMUSG00000055866	chr1	91415982	91459324	-	5856	-0.609248403160827	5.39390607220688	-7.93486842847182	9.18150369778467e-12	2.04334364794198e-08	16.4692263891171
Mthfd1l	Mthfd1l	ENSMUSG00000040675	chr10	3973118	4167081	+	4435	-0.320704251538461	3.95941875605128	-7.2089646817532	2.47057605785125e-10	4.597497034821e-07	13.1815393554078
Plin4	Plin4	ENSMUSG00000002831	chr17	56100591	56109803	-	6350	-1.88579727083705	2.41613424805624	-7.18478651849065	2.75443542863536e-10	4.597497034821e-07	12.460395191207
Ccdc190	Ccdc190	ENSMUSG00000070532	chr1	169928648	169934653	+	1734	0.444508581495703	3.88313912408478	6.91976147522082	9.02889692286183e-10	1.33958734012193e-06	11.9106386831463
Nr1d2	Nr1d2	ENSMUSG00000021775	chr14	18204054	18239127	-	5409	-0.21759981998982	6.9983895988637	-6.71763954911016	2.2176529230924e-09	2.96123194820529e-06	11.2035921664228
Adap2	Adap2	ENSMUSG00000020709	chr11	80154105	80178958	+	1785	-0.362612660099945	3.53808697098654	-6.69574406703221	2.44342236971316e-09	2.96609262752544e-06	10.9267471747711
Slc2a1	Slc2a1	ENSMUSG00000028645	chr4	119108711	119137983	+	3506	-0.377670872478946	6.98462751325315	-6.62391667212964	3.35639618554797e-09	3.7348298554685e-06	10.8052008083771
Paqr5	Paqr5	ENSMUSG00000032278	chr9	61953481	62026856	-	3954	-0.513425044805919	2.64303316367777	-6.60101259125834	3.71326562206146e-09	3.81409506549129e-06	10.2003449565008
Abcg2	Abcg2	ENSMUSG00000029802	chr6	58584523	58695676	+	8153	-0.285343867556402	4.62330744560551	-6.47312598984432	6.5165201410618e-09	6.21536381739987e-06	10.1694795036192
Xdh	Xdh	ENSMUSG00000024066	chr17	73883895	73950196	-	9175	-0.721094091811996	3.05506802233935	-6.30430503788763	1.36255395929394e-08	1.21294553456347e-05	9.20719165814975
Atp10a	Atp10a	ENSMUSG00000025324	chr7	58656166	58829420	+	5587	-0.359153788603572	4.55315344405491	-6.24557232587273	1.75873394037172e-08	1.44903000451829e-05	9.22624391936765
Cry1	Cry1	ENSMUSG00000020038	chr10	85131700	85185064	-	3340	-0.297824213625733	4.21359125749903	-6.22836944022808	1.89498643449833e-08	1.44903000451829e-05	9.13710466366786
Net1	Net1	ENSMUSG00000021215	chr13	3882018	3918220	-	5217	-0.468217930169397	5.04856594485893	-6.21386755977089	2.01791189977144e-08	1.44903000451829e-05	9.0971026937363
Sf3b1	Sf3b1	ENSMUSG00000025982	chr1	54985169	55027481	-	11370	-0.153491908880556	8.1034241891358	-6.208897668162	2.06182656225923e-08	1.44903000451829e-05	9.07051188936586
Tef	Tef	ENSMUSG00000022389	chr15	81802421	81826863	+	7867	-0.195376099505156	8.55303852851918	-6.1276366911003	2.9294684712788e-08	1.88277239273145e-05	8.73779815973856
Dmpk	Dmpk	ENSMUSG00000030409	chr7	19083849	19093821	+	4330	-0.353383486369232	4.82849742016147	-6.12515432609269	2.96099904496071e-08	1.88277239273145e-05	8.73418977429326
Gpt2	Gpt2	ENSMUSG00000031700	chr8	85492576	85527560	+	5643	-0.255154019239609	6.05616564430334	-6.1068427175219	3.20417751855118e-08	1.9447901093279e-05	8.63731936463847
Sphk2	Sphk2	ENSMUSG00000057342	chr7	45709467	45718002	-	4159	0.19849624711497	4.87215895484104	6.08011031578396	3.59498593199976e-08	2.08712378913012e-05	8.54983070550526
Pik3c2a	Pik3c2a	ENSMUSG00000030660	chr7	116337265	116443449	-	11133	-0.178694518562947	5.56549385525746	-6.06964694823445	3.76045426375741e-08	2.09222274099803e-05	8.49266127689859
Cldn5	Cldn5	ENSMUSG00000041378	chr16	18776847	18778262	+	1416	0.453261626746973	5.18776833277451	6.04964605001987	4.0979428034947e-08	2.18879321020259e-05	8.42281315205323
Tbp	Tbp	ENSMUSG00000014767	chr17	15499888	15528379	+	13576	-0.181020807412413	4.95988466497288	-5.97398501486252	5.66741021392329e-08	2.91065109948145e-05	8.11558820444426
Mxd4	Mxd4	ENSMUSG00000037235	chr5	34173883	34187720	-	8483	-0.201219634158308	6.73840611226269	-5.89706183286799	7.86900553544872e-08	3.89166040425359e-05	7.77355392912157
Fkbp5	Fkbp5	ENSMUSG00000024222	chr17	28399094	28517527	-	9468	-0.504415691291203	5.28972731566115	-5.77768597384875	1.30556970740676e-07	6.22616867964376e-05	7.3101029008497
Slc16a12	Slc16a12	ENSMUSG00000009378	chr19	34668403	34747289	-	4170	-0.563771775585162	2.39904272998442	-5.73758309405849	1.54629836575862e-07	7.07231686539528e-05	6.79051294633233
Prr5	Prr5	ENSMUSG00000036106	chr15	84669620	84703673	+	1917	-0.437574758962064	3.497237898134	-5.73112851200416	1.5889276264649e-07	7.07231686539528e-05	7.08555993115109
Hnrnpu	Hnrnpu	ENSMUSG00000039630	chr1	178321108	178337797	-	11599	-0.147879766215857	8.76356657791936	-5.71281237614971	1.71629620993537e-07	7.39280751331195e-05	7.05211437985906
Slc7a5	Slc7a5	ENSMUSG00000040010	chr8	121881150	121907694	-	3708	-0.216803032941017	6.49169369582508	-5.69174547888951	1.87525052934517e-07	7.5215538387802e-05	6.94046855629975
Lfng	Lfng	ENSMUSG00000029570	chr5	140607320	140615545	+	2505	-0.356331127109305	4.53516720319261	-5.68544318759332	1.92555710376508e-07	7.5215538387802e-05	6.9611350710159
Cdk8	Cdk8	ENSMUSG00000029635	chr5	146231230	146302874	+	9832	-0.499984901929328	6.54262823525491	-5.68192247864921	1.95423602721054e-07	7.5215538387802e-05	6.90144100557285
Mertk	Mertk	ENSMUSG00000014361	chr2	128698956	128802894	+	4336	-0.406270863117366	6.10780849983472	-5.67982754295073	1.97149992029736e-07	7.5215538387802e-05	6.89535978867432
Cul4a	Cul4a	ENSMUSG00000031446	chr8	13105621	13147940	+	6408	-0.103456866347274	6.25112935568504	-5.66397819365774	2.10706396643224e-07	7.81545142882493e-05	6.82941865636653
Atcay	Atcay	ENSMUSG00000034958	chr10	81204508	81230833	-	3996	0.127918215017591	7.84209622251073	5.62998828208822	2.4294577681237e-07	8.76771610209615e-05	6.70855133376059
Sgms1	Sgms1	ENSMUSG00000040451	chr19	32122727	32389714	-	10546	-0.214242568748119	5.70302248776173	-5.61496209123339	2.58700647352187e-07	8.86789195750078e-05	6.64474453596606
Ube2i	Ube2i	ENSMUSG00000015120	chr17	25261916	25274622	-	5474	-0.140346340214905	6.0874794116617	-5.61468186225738	2.59003809138419e-07	8.86789195750078e-05	6.63395738348157
Sdc4	Sdc4	ENSMUSG00000017009	chr2	164424247	164443887	-	2547	-0.313458129568623	6.17302145268755	-5.59285482761399	2.83722069956942e-07	9.21757495235323e-05	6.54558893008377
Prpf38b	Prpf38b	ENSMUSG00000027881	chr3	108902805	108911727	-	6949	-0.204028321333689	5.83166485115485	-5.59189496091617	2.84860743295731e-07	9.21757495235323e-05	6.5485416099425
Tmem150a	Tmem150a	ENSMUSG00000055912	chr6	72355447	72359762	+	1548	-0.348957909887108	3.46865463205465	-5.58767033854999	2.89925970193092e-07	9.21757495235323e-05	6.52790568296551
Ttyh3	Ttyh3	ENSMUSG00000036565	chr5	140620578	140649031	-	5684	-0.148654200980006	8.401258205414	-5.54900790424376	3.40590134055427e-07	0.000103812559028526	6.39444158494704
Il4ra	Il4ra	ENSMUSG00000030748	chr7	125552120	125579474	+	6002	0.363469693084777	2.9337264226105	5.54796078909687	3.42076881394078e-07	0.000103812559028526	6.2380381402063
Hook1	Hook1	ENSMUSG00000028572	chr4	95967240	96025413	+	8318	-0.290994638501074	6.27178334382809	-5.51308853057068	3.9540302326844e-07	0.000117329257104522	6.22709309693081
